Product_ID,Catagories,Product_Type,Product_Description,headings,Industries_WeldingProcess,Elements,Values
"SPOOLARC,53",Submerged Arc Wires & Fluxes (SAW),Mild Steel Wires,Designed for single or multipass welding on carbon and low alloy steels. Provides higher strength deposits with moderate rust and mill scale tolerance. Produces good impact toughness. Applications include pressure vessel fabrication and offshore oil rig structures.,"Industries,Welding Process","Automotive,Agricultural Equipment,Mobile Equipment,Industrial and General Fabrication,Welding-SAW - Submerged Arc Welding",,
"OK,FLUX,281",Submerged Arc Wires & Fluxes (SAW),Mild Steel/Low Alloy Fluxes,"OK Flux 281 is an active flux intended for welding gauge thickness and thin steel plate(up to 3/8 in. thick) for butt, lap and fillet welds. Due to the excellent operating characteristics, quality welds with self-peeling slag and free from undercut may be achieved with welding speeds ranging from 50 to 100 inches per minute. *Single pass application only. Any mechanical property and undiluted weld chemistry listed are for information only.","Industries,Welding Process","Metal Beam Fabrication,Pipe Construction,Tank and Vessel Fabrication,Railcars,Welding-SAW - Submerged Arc Welding",,
"SPOOLARC,29S",Submerged Arc Wires & Fluxes (SAW),Mild Steel Wires,"Spoolarc 29S is a general purpose copper-coated wire suitable for many carbon steel welding applications using the Submerged Arc Welding (SAW) processes. Spoolarc 29S contains moderate amounts of manganese and silicon to provide sufficient deoxidation over light mill scale. Spoolarc 29S can be combined with a variety of active and neutral bonded fluxes to achieve better welding performance over Spoolarc 81 wire. Spoolarc 29S is used in a wide variety of applications including heavy equipment, automotive parts, railcars, agricultural equipment, and sheet metal welding.",,,,
"OK,FLUX,429",Submerged Arc Wires & Fluxes (SAW),Mild Steel/Low Alloy Fluxes,"OK Flux 429 is a neutral, bonded flux intended for butt and fillet welding of carbon and low alloy steel plate. It combines good as welded and stress relieved mechanical properties with excellent performance. Its slag is generally self peeling, even in tight, narrow groove butt welds. It provides moderate tolerance of rust and mill scale. OK Flux 429 is used in offshore oil rig, bridge, ship, pressure vessel, and structural fabrication. It will operate with DC and AC, single and multiwire systems at currents up to 1000 amps.","Industries,Welding Process","Ship and Offshore Yards,Bridge Construction,Ship/Barge Building,Pressure Vessels,Process,Structural Steel Fabrication,Mobile Equipment,Power Generation,Pipeline,Industrial and General Fabrication,Welding-SAW - Submerged Arc Welding",,
"OK,FLUX,350",Submerged Arc Wires & Fluxes (SAW),Mild Steel/Low Alloy Fluxes,"OK Flux 350 is an active bonded flux for making butt and fillet welds in carbon steel plate up to 1"" (25 mm) thick. It produces a smooth weld surface with uniform edges. The slag is generally free peeling. Its performance is very good even when the plate surface is covered with rust and mill scale. OK Flux 350 is suitable for use with AC or DC power in single or multiwire applications. It is recommended for butt welding of thin wall pressure vessels, rail cars, and structural steel plate. It is used for fillet welding in shipbuilding, pressure vessel, and structural applications. OK Flux 350 also is widely used as a backing flux in one sided welding. It provides good performance at currents up to 1100 amps.","Industries,Welding Process","Pressure Vessels,Ship/Barge Building,Tank and Vessel Fabrication,Railcars,Welding-SAW - Submerged Arc Welding",,
"OK,FLUX,282",Submerged Arc Wires & Fluxes (SAW),Mild Steel/Low Alloy Fluxes,"OK Flux 282 is an active, bonded flux designed for high speed, single pass welding of carbon steel sheet. Butt, lap, and fillet welds are well washed and free from undercut even at speeds up to 120 IPM (305 cm/min). It is primarily used with DC single and parallel wire systems at currents up to 1300 amps. OK Flux 282 is recommended for making high speed welds in metallic building beams, spiral pipe, storage tanks, and rail cars. *Single pass application only. Any mechanical property and undiluted weld chemistry listed are for information only.","Industries,Welding Process","Metal Beam Fabrication,Pipe Construction,Tank and Vessel Fabrication,Railcars,Welding-SAW - Submerged Arc Welding",,
"OK,FLUX,231",Submerged Arc Wires & Fluxes (SAW),Mild Steel/Low Alloy Fluxes,"OK Flux 231 is an active, bonded flux designed for fillet and butt welding of carbon steel plate. It provides excellent tolerance of rust and mill scale so joint preparation can be minimized. This flux will produce horizontal fillets up to 3/8"" (9.5 mm) leg size without undercut or rollover. The slag peeling is excellent. OK Flux 231 can be used for multipass welding, but because Mn and Si buildup is possible, welding voltage should be kept to a minimum and plate thickness should be limited to 1"" (25 mm). OK Flux 231 is suitable for DC single and parallel wire welding at currents up to 1000 A. It is used for welding rail cars, water heater tanks, ship plates, and structural steel.","Industries,Welding Process","Railcars,Tank and Vessel Fabrication,Ship/Barge Building,Structural Steel Fabrication,Welding-SAW - Submerged Arc Welding",,
"OK,Flux,10.99",Submerged Arc Wires & Fluxes (SAW),Stainless Steel Fluxes,"OK Flux 10.99 is an agglomerated basic flux designed for the submerged arc welding process of austenitic and ferritic-austenitic stainless steels, either using AC or DC current. Welding in AC usually provides good mechanical properties and better impact properties (when compared to DC current). This flux can be also used in DC to weld Ni-based alloys with Ni-based wires. The high basicity of OK Flux 10.99 gives better impact values, regardless of the current being used. It also has very good weldability in 1G and 2G position. The slag is self-lifting or easily detached leaving clean and nice bead appearance.",,,,
"OK,Flux,10.95",Submerged Arc Wires & Fluxes (SAW),Stainless Steel Fluxes,"Basic, nickel alloying, agglomerated flux for butt welding of stainless steels. Specially recommended for welding of stainless steels when impact strength at low temperatures is required. Low Si addition during welding provides good mechanical properties in the weld metal.",,,,
"OK,Flux,10.94",Submerged Arc Wires & Fluxes (SAW),Stainless Steel Fluxes,"OK Flux 10.94 is a basic chromium-alloying flux for the butt welding of stainless steels. OK Flux 10.94 is a suitable flux for welding stainless, high-alloyed CrNiMo steels like super-duplex stainless steels.",,,,
"OK,Flux,10.93",Submerged Arc Wires & Fluxes (SAW),Stainless Steel Fluxes,OK Flux 10.93 is a basic non-alloying agglomerated flux for the submerged arc welding of stainless steels and high-alloyed CrNiMo steels including duplex stainless steels.,Industries,"Power Generation,Pipeline,Railcars,Petrochemical,Process Industry,Industrial and General Fabrication",,
"OK,Band,NiFeCr1",Submerged Arc Wires & Fluxes (SAW),Cladding Strip,"OK Band NiFeCr1 is a nickel-iron-chromium strip with additions of molybdenum and copper. The weld deposit in combination with OK Flux 10.11 has excellent resistance to both reducing and oxidizing acids, to stress corrosion cracking, and to localized attack such as pitting and crevice corrosion. The alloy is especially resistant to sulfuric and phosphoric acids.",,,,
"OK,Band,NiCu7",Submerged Arc Wires & Fluxes (SAW),Cladding Strip,OK Band NiCu7 is a Monel strip for submerged arc strip cladding. Together with OK Flux 10.18 it produces a weld overlay with good corrosion resistance and high temperature properties.,,,,
"Stoody,StoodCor,136-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"STOODCOR 136 is an erosion and corrosion resistant alloy with complex carbide design well suited for hardfacing and cladding applications  where erosion and corrosion are of equal concern.  The ability of STOODCOR 136 to resist high abrasion in a corrosive environment makes the alloy optimal for hardfacing and cladding pipe, plate and vessels.",Features,"Optimal performance alloy for application where erosion and corrosion are of equal concern.,Complex carbide deposit producing chromium and fine primary carbides in an austenitic matrix.","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","60-65 HRC,7.5 %,4.0 %,24.0 %,BAL %,1/16 in.,1.6 mm,
225-275 A
,
5/8-3/4 in.,16-19 mm
,
24-27 V
,
200-250 in./min,508-635 cm/min
,7/64 in.,2.8 mm,
425-475 A
,
1-1 1/4 in.,25-32 mm
,
27-29 V
,
180-220 in./min,457-559 cm/min
"
"Stoody,SOS,316L",Self Shielded Flux Cored Wires (FCAW),Stainless Steel Wires,"Stoodys ""SOS"" wires offer the productivity and efficiencies of continuous welding wire and the convenience and low cost of open arc (gas-less) welding. Welding can be done indoors or outdoors - even in moderate wind or draft conditions. Weldability is excellent, producing weld deposits that are sound and clean with flat to slightly convex bead shape.",Features,"Stoody® ""SOS"" wire deposits have lower percentage of penetration than GMAW deposits at the same current levels which means less dilution and distortion.,Stoody® ""SOS"" wires can be used as a direct replacement for solid stainless wires or electrodes of the same grade both in fabricating and overlay applications.,Stoody®s ""SOS"" wires do not require specialized equipment.,For best results, a contant voltage, direct current power source is recommended.","Typical Tensile Properties,Elongation,Tensile Strength,Typical Weld Metal Analysis %,Mn,Mo,C,Si,Ni,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","38 %,87 ksi,1.2 %,2.6 %,0.02 %,0.50 %,12.8 %,19.5 %,BAL %,3/32 in.,2.4 mm,
275-320 A
,
3/4-1 1/4 in.,19-32 mm
,
28-30 V
,
175-250 in./min,445-635 cm/min
"
"Stoody,SOS,430-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"The SOS® 430 deposit is ferritic stainless steel. This open arc wire can be used as a single layer underlay for the SOS 423 wire.  The wire is specifically designed for one layer underlay on continuous caster rolls, prior to the applications of the SOS 423 overlay. The wire must not be used to deposit a final overlay on continuous caster rolls. The alloy does not require a post-weld heat treatment or temper.",Features,"Open Arc Process,One Layer Underlay Only","Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","1.0 %,0.05 %,17.0 %,BAL %,3/32 in.,2.4 mm,
275-350 A
,
1-1 1/4 in.,25-32 mm
,
25-27 V
"
"Stoody,SOS,423-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"The SOS® 423 deposit is a stabilized martensitic stainless steel. It is a fire-crack resistant alloy that has excellent corrosion and wear resistance.  This open arc welding wire is specifically designed for a two-layer overlay on continuous caster rolls. It is designed to be used with SOS 430 as the underlay, and used as a 2-layer overlay in the un-tempered condition for best wear and corrosion resistance. It can be applied using either a weave bead or stringer bead technique. On smaller rolls, the stringer bead technique is preferred.",Features,Hardfacing continuous caster rolls.,"Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Ni,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","43 HRC,4.5 %,0.1 %,4.0 %,13.0 %,BAL %,3/32 in.,2.4 mm,
275-350 A
,
1-1 1/4 in.,25-32 mm
,
25-28 V
,1/8 in.,3.2 mm,
-
,
-
,
-
"
"Stoody,SOS,309L",Self Shielded Flux Cored Wires (FCAW),Stainless Steel Wires,"Stoodys ""SOS"" wires offer the productivity and efficiencies of continuous welding wire and the convenience and low cost of open arc (gas-less) welding. Welding can be done indoors or outdoors - even in moderate wind or draft conditions. Weldability is excellent, producing weld deposits that are sound and clean with flat to slightly convex bead shape.",Features,"Stoody® ""SOS"" wire deposits have lower percentage of penetration than GMAW deposits at the same current levels which means less dilution and distortion.,Stoody® ""SOS"" wires can be used as a direct replacement for solid stainless wires or electrodes of the same grade both in fabricating and overlay applications.,Stoody®s ""SOS"" wires do not require specialized equipment.,For best results, a contant voltage, direct current power source is recommended.","Typical Tensile Properties,Elongation,Tensile Strength,Typical Weld Metal Analysis %,Mn,C,Si,Ni,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","38 %,88 ksi,1.2 %,0.02 %,0.5 %,12.6 %,24.4 %,BAL %,1/16 in.,1.6 mm,
170-225 A
,
3/4 in.,19 mm
,
26-28 V
,
175-290 in./min,445-737 cm/min
,3/32 in.,2.4 mm,
275-320 A
,
3/4-1 1/4 in.,19-32 mm
,
28-30 V
,
175-250 in./min,445-635 cm/min
,7/64 in.,2.8 mm,
300-350 A
,
1-1 1/4 in.,25-32 mm
,
28-30 V
,
200-240 in./min,508-610 cm/min
"
"Stoody,SOS,308L",Self Shielded Flux Cored Wires (FCAW),Stainless Steel Wires,"Stoodys ""SOS"" wires offer the productivity and efficiencies of continuous welding wire and the convenience and low cost of open arc (gas-less) welding. Welding can be done indoors or outdoors - even in moderate wind or draft conditions. Weldability is excellent, producing weld deposits that are sound and clean with flat to slightly convex bead shape.",Features,"Stoody® ""SOS"" wire deposits have lower percentage of penetration than GMAW deposits at the same current levels which means less dilution and distortion.,Stoody® ""SOS"" wires can be used as a direct replacement for solid stainless wires or electrodes of the same grade both in fabricating and overlay applications.,Stoody®s ""SOS"" wires do not require specialized equipment.,For best results, a contant voltage, direct current power source is recommended.","Typical Tensile Properties,Elongation,Tensile Strength,Typical Weld Metal Analysis %,Mn,Mo,C,Si,Ni,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","43 %,87 ksi,1.1 %,0.06 %,0.01 %,0.50 %,10.1 %,20.8 %,BAL %,1/16 in.,1.6 mm,
170-225 A
,
3/4 in.,19 mm
,
26-28 V
,
175-290 in./min,445-737 cm/min
,3/32 in.,2.4 mm,
275-320 A
,
3/4-1 1/4 in.,19-32 mm
,
28-30 V
,
175-250 in./min,445-635 cm/min
"
"Stoody,SA,Super,20",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,SA Super 20 deposit is a very highly alloyed chromium-tungsten-moly-iron used for service involving very severe abrasive conditions and hot wear up to 1100F.,Features,"The abrasion resistance of this alloy approaches that of a tungsten carbide and thus has been given the name ""the poor mans tungsten carbide"".","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","58-65 HRC,12.0 %,5.0 %,21.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
1-1 1/4 in.,25-32 mm
,
24-28 V
,7/64 in.,2.8 mm,
350-500 A
,
1-1 1/2 in.,19-38 mm
,
26-30 V
"
"Stoody,SA,Nicromang-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Nicromang deposit is a typical 13 - 16% manganese steel alloy with additions of chromium and nickel to improve its weldability and physical properties. It is primarily used for build up, repair, and joining of manganese steels.",Features,"Deposit thickness is unlimited. Nicromang can be flame cut without difficulty and it work hardens significantly under impact.  Nicromang and SA Nicromang are interchangeable names for the same product.,Nicromang-G is a gas shielded version of 1/16"" diameter Nicromang wire.","Typical Tensile Properties,Elongation,Hardness (BHN),Hardness (HRC),Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Other,Mn,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","21 %,231 BHN,42 HRC,119 ksi,89 ksi,0.5 %,15.0 %,1.0 %,4.0 %,BAL %,7/64 in.,2.8 mm,
275-375 A
,
3/4-1 1/4 in.,19-32 mm
,
25-28 V
"
"Stoody,PR2009-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,Stoody PR2009 is a chromium carbide wire designed specifically for the repair of worn ID claddings in pipe elbows.  PR2009 is optimized to result in superior weldability for overlaying pipe ID in the horizontal position.  Special deoxidizers within PR2009 make it possible to achieve sound ID claddings when repairing worn chromium carbide overlays with hydrocarbon contamination embedded in existing relief cracks.,Features,"Designed specifically for repair of pipe and elbow ID cladding,Special deoxidizers make it possible to achieve sound ID claddings when repairing worn chromium carbide overlays with hydrocarbon contamination embedded within existing relief cracks","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,C,Si,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","59-62 HRC,5.5 %,2.0 %,27.0 %,BAL %,7/64 in.,2.8 mm,
450-500 A
,
1-1 1/4 in.,25-32 mm
,
28-29 V
,
180-220 in./min,457-559 cm/min
"
"Stoody,CP-2000-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,Stoody CP-2000 is designed to produce a high concentration of uniformly distributed small primary chromium carbides in an austenitic matrix.  The formulation is optimized for superior weldability in single and multiple layer applications.  CP-2000 exhibits improved wear resistance and toughness over conventional chromium carbide alloys.,Features,"Superior weldability in single and multiple layer applications.,Alloy exhibits improved wear resistance and toughness over conventional chromium carbine alloys.,Can be utilized in hot wear applications up to 900°F (482°C)","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,Mn,Mo,C,Si,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","58-64 HRC,4.0 %,1.5 %,1.0 %,4.8 %,1.0 %,24.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
3/4-1 in.,19-25 mm
,
24-28 V
,5/64 in.,2.0 mm,
250-300 A
,
1 1/4-1 1/2 in.,32-38 mm
,
25-28 V
,.045 in.,1.2 mm,
175-225 A
,
1/2-3/4 in.,13-19 mm
,
22-26 V
,1/8 in.,3.2 mm,
450-650 A
,
1 1/4-1 1/2 in.,32-38 mm
,
29-33 V
,7/64 in.,2.8 mm,
400-650 A
,
1 1/4-1 1/2 in.,32-38 mm
,
24-26 V
,7/64 in.,2.8 mm,
400-650 A
,
1 1/4-1 1/2 in.,32-38 mm
,
28-32 V
"
"Stoody,CP-2001-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"A specially formulated chromium carbide alloy designed to produce a high concentration of uniformly distributed small primary carbides and secondary Niobium and Vanadium carbides in an austenitic matrix.  CP-2001 has been optimized for superior single and multiple layer applications and can be applied to carbon, low alloy, and manganese steels - and even cast irons in coal pulverizer rebuilds.",Features,"Optimized formulation to result in superior weldability for broad range of single and multiple layer applications,High concentration of small carbides greatly improves wear resistance and toughness versus conventional chromium carbide alloys,Can be applied to carbon, low alloy, and manganese steels.  In special applications such as tar sands slurry pipe or coal pulverizer rebuilding, CP-2001 can be applied to cast irons","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","58-63 HRC,8.0 %,4.5 %,24.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
3/4-1 in.,19-25 mm
,
24-28 V
,1/8 in.,3.2 mm,
440-650 A
,
1 1/4-1 1/2 in.,32-38 mm
,
29-33 V
,7/64 in.,2.8 mm,
400-650 A
,
1 1/4-1 1/2 in.,32-38 mm
,
28-32 V
"
"Stoody,Dynamang-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Dynamang deposit is an austenitic manganese steel containing chromium and some nickel. It produces a tough, high-strength deposit that work hardens under impact. It is primarily used for the build up, repair, and joining of manganese steel components in the cement, rock-crushing and mining industries.",Features,"Alloy produces tough, high strength deposits that work harden under impact,Primarily used for build-up, repair, and joining of manganese steel,Deposit thickness is unlimited and can be flame cut without difficulty","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,Mn,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","42 HRC,0.5 %,14.0 %,0.5 %,4.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
1/2-1 in.,13-25 mm
,
23-27 V
,.045 in.,1.2 mm,
150-180 A
,
1/2-3/4 in.,13-19 mm
,
25-27 V
,7/64 in.,2.8 mm,
275-375 A
,
3/4-1 1/4 in.,19-32 mm
,
25-28 V
"
"Stoody,968-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Stoody 968-O is an open arc, non-chromium bearing hardfacing welding wire which results in a deposit that has wear resistance and hardness equal to or greater than conventional chromium carbide deposits.  Stoody 968-O was specially formulated to eliminate chromium in the wire and still provide outstanding wear resistance.  As there is no chromium in the welding wire, the emission of hexavalent chromium during welding is reduced or completely eliminated - depending on the level of the chromium content in the base metal or pre-existing weld deposit.  Stoody 968-O provides a wear resistant overlay for applications where hexavalent chromium in welding fumes can not be reduced by work practice controls.",,,"Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","66-69 HRC,9.5 %,0.5 %,BAL %,1/16 in.,1.6 mm,
225-300 A
,
5/8-1 in.,16-25 mm
,
20-26 V
,
200-300 in./min,508-762 cm/min
,.045 in.,1.2 mm,
150-250 A
,
1/2-5/8 in.,13-16 mm
,
19-24 V
,
230-420 in./min,584-1067 cm/min
"
"Stoody,965-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Stoody 965-O is a general purpose hardfacing alloy offering a good balance of impact and abrasion resistance.  Can be applied to carbon, low alloy and manganese steel.  Applications would include both metal-to-metal and metal-to-earth.",Features,"Offers good balance between impact and abrasion resistance.,Applications would include metal-to-metal and metal-to-earth,Deposits are martensitic, forgeable, and not readily machinable,Can be applied to carbon, low alloy, and manganese steel.","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","56-60 HRC,3.0 %,0.5 %,6.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
3/4-1 in.,19-25 mm
,
27-31 V
"
"Stoody,PC2009-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,Stoody PC2009 is a chromium carbide wire designed specifically for the application of abrasion resistant deposits inside pipe.  The alloy is optimized to result in superior weldability for overlaying pipe ID in the flat position and elbows in the horizontal position.  Stoody PC2009 can be used in hot wear applications up to 900°F (482°C).,Features,"Designed specifically for pipe and elbow ID cladding,The alloy can be used in hot wear applications up to 900°F (482°C)","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage,Wire Feed Speed","57-60 HRC,2.5 %,5.5 %,27 %,BAL %,7/64 in.,2.8 mm,
450-500 A
,
1-1 1/4 in.,25-32 mm
,
28-29 V
,
180-220 in./min,457-559 cm/min
"
"Stoody,Foundry,Co-Mang-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,Foundry Co-Mang is an austenitic manganese steel deposit which is suitable for multi-layer build-up and has excellent work hardening characteristics. It can also be used to join austenitic manganese steels.,,,"Typical Tensile Properties,Hardness (BHN),Typical Weld Metal Analysis %,Other,Mn,C,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","170-450 BHN,1.0 %,16.0 %,1.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
3/4-1 1/4 in.,19-32 mm
,
24-26 V
"
"Stoody,964-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Stoody 964-O deposit is a specially formulated wear resistant alloy which produces a uniform distribution of small primary carbides in a martensitic matrix.  The small carbides provide greatly improved wear resistance over martensitic steel, many tool steels, and some conventional chromium carbide alloys.  Stoody 964-O possesses excellent resistance to impact and plastic deformation.  Deposits are crack free on carbon 300 stainless and manganese steels.  Other base metals should be preheated and post heated appropriately.  The material is characterized by a high hardness and excellent wear resistance and is recommended for parts where cross checking is undesirable.  Stoody 964-O offers improved weldability over chromium carbide and many other tool steel welding wires.",,,"Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","8.0 %,1.5 %,1.0 %,BAL %,1/16 in.,1.6 mm,
200-250 A
,
3/4-1 1/4 in.,19-32 mm
,
24-28 V
"
"Stoody,600-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Particularly suited for high stress applications like cement clinker crusher rolls, Stoody 600 produces a titanium carbide bearing deposit exhibiting excellent abrasion resistance as well as toughness for good impact resistance.",Features,"Titanium carbide deposit delivering excellent abrasion resistance, with toughness and good impact resistance,When compared to other titanium carbide alloys, Stoody 600 exhibits good operational characteristics and excellent slag removal,Particularly well suited to high stress applications such as cement clinker crusher rolls","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Ti,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","37-59 HRC,4.0 %,2.0 %,5.5 %,8.0 %,BAL %,1/16 in.,1.6 mm,
200-300 A
,
3/4-1 in.,19-25 mm
,
22-26 V
,.045 in.,1.2 mm,
150-225 A
,
1/2-3/4 in.,13-19 mm
,
22-26 V
,3/32 in.,2.4 mm,
300-400 A
,
1 1/4-1 1/2 in.,32-38 mm
,
25-27 V
,7/64 in.,2.8 mm,
400-500 A
,
1 1/4-1 1/2 in.,32-38 mm
,
26-28 V
"
"Stoody,145-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Stoody 145 offers high abrasion resistance, high corrosion resistance and high hardness at elevated temperatures thanks to Niobium content - contributes to excellent high temperature abrasion resistance up to 1500°F (816°C).",Features,"High abrasion and corrosion resistance,Maintains hardness at elevated temperatures - up to 1500°F (816°C),Can be applied to carbon, low alloy, and manganese steels","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,Mo,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","59-61 HRC,10.0 %,6.0 %,6.0 %,24.0 %,BAL %,3/32 in.,2.4 mm,
250-500 A
,
3/4-1 1/2 in.,19-38 mm
,
26-30 V
,1/8 in.,3.2 mm,
400-600 A
,
1 1/2-1 3/4 in.,38-44 mm
,
32-34 V
,7/64 in.,2.8 mm,
300-550 A
,
3/4-1 1/2 in.,19-38 mm
,
28-30 V
"
"Stoody,143-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,Stoody 143 deposits consist of primary chromium carbides and secondary Niobium carbides in an austenitic matrix exhibiting high abrasion resistance and hardness up to 1100°F,Features,"High abrasion resistance,Maintains hardness up to 1100°F,Can be applied to carbon, low alloy, and manganese steels","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","60 HRC,9.0 %,5.0 %,22.5 %,BAL %,1/16 in.,1.6 mm,
170-220 A
,
3/8-1/2 in.,10-13 mm
,
24-26 V
,7/64 in.,2.8 mm,
280-550 A
,
1-1 1/2 in.,25-38 mm
,
28-32 V
"
"Stoody,134-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Stoody 134 deposit is a high chromium-iron alloy recommended for applications subject to severe abrasion, moderate impact, and high compressive loads. It can be deposited on carbon, low alloy, and manganese steel.",Features,"Deposits are normally limited to two layers, develop cross checks, and are not machinable or forgeable. It can be used in hot wear applications up to 900F.","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","42-60 HRC,4.0 %,4.0 %,26.0 %,BAL %,7/64 in.,2.8 mm,
300-350 A
,
3/4-1 1/4 in.,19-32 mm
,
26-28 V
"
"Stoody,133-O",Self Shielded Flux Cored Wires (FCAW),Hardfacing Alloys,"Stoody 133 deposits offer good resistance to corrosion, heat and galling and can be applied in multiple layers crack free. Deposits are machinable with carbide tools and will polish to a mirror finish in service. It can be applied to carbon, low alloy, and manganese steels.",Features,"It is recommended for parts where a low coefficient of friction is desirable and where cross checking is undesirable.,The 1/16"" & 3/32"" diameter Stoody 133 can be applied in a twin arc spray operation, producing a thermal spray coating with an excelllent balance of abrasion and corrosion resistance.","Typical Tensile Properties,Hardness (HRC),Typical Weld Metal Analysis %,Other,C,Cr,Fe,Deposition Data,Full Range,Diameter,Current,TTW Dist.,Voltage","39-42 HRC,7.0 %,2.0 %,26.0 %,BAL %,1/16 in.,1.6 mm,
200-300 A
,
1/2-1 in.,13-25 mm
,
22-26 V
"
